"","n=10","n=15","n=20","n=25","n=30","n=50","n=75","n=100","n=500"
"76",1,0.387346078571127,0.107768691539303,0.122292626534195,0.458458051413677,0.00911512597829335,0.0271159469499429,0.0687480156552155,0.17922257299006
"77",1,1,1,0.542528395832479,1,1,1,0.797200623617292,0.06623839355052
"78",1,1,0.808854215491027,1,0.560150092267539,0.0307886560650067,1,0.118645842879192,0.456153277126451
"79",1,1,1,1,0.635231865932238,0.0413122796261703,0.0124145169579087,0.0200414112846357,0.732396510466361
"80",1,0.490871642708518,0.908118841205998,0.175545550453656,1,0.0142250215478295,0.80916719431228,0.988020858599469,0.266543175739492
"81",0.0336416599616869,1,0.650065357348682,0.0645018086048697,0.029820832460698,0.140292412090783,1,0.25678337094393,1
"82",1,1,0.527778692779543,1,0.765907036808165,1,0.191633843830275,0.664465266365835,0.785951473024193
"83",1,0.199061559583969,0.119269259984396,1,0.0193978863189512,0.636766529456971,0.907811393259276,0.401298395268994,0.596689669915089
"84",0.51976961616696,1,0.108837713996022,0.475894694922991,1,1,0.16575532667475,0.764088781160815,1
"85",1,1,0.840780627789321,0.0480285995163745,0.845296283599191,0.0580948823687708,0.109354602162739,1,0.825328504564934
"86",1,1,1,0.792700391642864,0.717167389107258,0.0385579235626019,0.0110705928884824,1,1
"87",0.243040961859905,0.115987481972855,0.106283495772251,1,0.116796855720036,0.191836570216123,0.0624712704334116,1,1
"88",1,1,0.0192240938328412,1,1,0.291313951741176,0.0458429853447693,0.152844985183803,0.011286233762451
"89",1,1,0.477958506211145,0.0424669002896725,0.648989363482196,0.190874702412528,0.0158814653599706,0.163646506726441,0.85003055371399
"90",1,0.44008858699652,0.0259899705880549,0.0500984089154437,0.996377464722802,0.0576638390893521,0.264480051124818,1,0.64890230534225
"91",1,0.248215671141308,0.0470224064884989,1,0.469627839853213,0.380859030551569,0.966758428576612,0.132712025488649,1
"92",0.915504756359824,0.0590977386348369,0.573329967539092,0.265000980454139,0.013712755604332,1,1,0.266121577372743,0.105332610659857
"93",0.0627617181895837,1,1,0.0105159768109635,0.0909211199920359,1,0.082342899344945,1,1
"94",1,0.18419832700893,1,0.0278445378596281,0.117175301002838,0.00946125685999497,0.599214695699325,0.129340149133192,0.0505784513958824
"95",0.93866186030035,0.178936549876082,0.970911752547381,0.201143428238642,0.0537520811880269,0.132757363515185,0.0330898770606414,1,0.0177688328598183
"96",1,1,0.135837026511974,0.24568794784748,0.10219069864471,0.088613579783355,0.500407958669141,0.0166226777761009,1
"97",0.477609823414982,1,1,1,0.0443380235855746,1,0.948516351845382,1,0.178683517465516
"98",1,0.236596175727337,0.415620941725392,0.0166641346292195,1,0.186771496189928,0.106705734607694,0.235020680044288,0.837498715786481
"99",0.214487082129816,0.214790355999006,1,0.129509846589066,1,1,0.583648067305634,0.958227253927376,0.806481482811093
"100",1,1,1,0.684103796525695,0.282410665545785,0.775286183810852,0.412676788695003,1,0.0516199510718746
"101",1,1,1,0.0776619453179601,0.65668176794781,0.0833706764313663,0.389425627078066,0.676021173647258,1
"102",0.745128829708355,0.00973279411977611,1,0.771736624391907,1,0.209971396920507,0.6379864738658,0.348083851293244,0.843379167368867
"103",1,0.266568805721285,0.383815849462156,0.898604030781223,0.265765940694717,0.147337072687279,0.0937199648545076,0.0239970570528898,0.0635962138791917
"104",0.0871792635161185,1,0.892945511272025,1,0.345178355884385,0.0371578219964527,0.0860284655004971,0.893151262009368,0.0092785940975979
"105",0.0574660966877694,0.585850685656355,0.140199081608185,0.0241921251287018,0.0641866411290323,0.11390168449049,0.39878821310911,0.420012175957615,0.376398521419331
"106",1,0.0542285131441096,0.866100897867214,0.742043306520967,0.117439912133496,0.682162648178628,0.100414665816763,0.431264175993855,0.939737487686522
"107",1,0.321640516976414,0.197210773082748,0.135514189247139,0.125527106168392,1,0.144531002082579,0.0194391684310592,0.041767837491871
"108",0.186931372670432,1,0.20688637686341,1,0.423608091233414,1,1,0.0164674688868661,0.253555292022837
"109",0.119468969361252,0.0549295016124866,1,0.0998480862500062,1,1,0.138493602033398,1,0.674909088307632
"110",1,0.21933456028361,0.104840133965535,1,0.0495115589436484,0.0107895056819533,1,0.715337035993374,0.113174901470128
"111",0.509446729566831,1,0.96943770709838,1,0.99320010128162,0.119651747867534,0.0309352279684279,0.170098726997351,0.0144822811451212
"112",0.958621060316067,0.175369974060761,0.690065095075377,0.341518170014774,0.819489873213249,0.0412178169048279,0.0151351098110774,1,1
"113",0.852079874751792,1,0.52836837292022,1,1,0.778023918501233,1,0.0710031037478203,0.0517772611420771
"114",1,0.188524449709537,0.0199573565929736,0.0850379086392188,0.0929936421395942,0.181563881886729,0.199536105426009,0.0184132463598675,0.0378119095841701
"115",1,0.620664795932412,0.153761856311718,0.765759813144115,0.525799502061778,0.443925318407616,1,0.0157708789033762,0.291902664209535
"116",1,1,1,0.627570259607424,0.0120402426757998,1,1,0.0741138092999068,0.0220454478898889
"117",0.176215366926235,1,0.789683047112758,1,0.610894221642635,0.599595462489447,1,0.904149677693688,1
"118",1,0.0333021579022661,0.513126393504635,0.295266506143508,1,1,0.112901162756816,0.817466837901409,1
"119",1,0.0406385866930241,0.231477346100551,0.509583747287556,0.152489974421191,0.542265030386976,0.671100537852588,1,0.368608610694799
"120",1,0.115118266829518,1,0.159733285811832,0.745168073253755,0.174200455492929,1,0.0329856521378491,0.551314300813417
"121",1,0.0659559005680155,1,0.155123471515431,0.479413740001312,0.116075173894364,0.0637715976227527,0.389611233212838,0.774936301635883
"122",1,0.212218106152885,0.3262376718586,1,1,0.058459662114753,0.358994691374891,1,0.117711056004621
"123",1,0.426783596058987,1,0.11013182415901,0.0603599379957808,0.758131179293805,0.113644193576903,0.0105827881004253,0.739761741247146
"124",0.435383409747845,1,0.353445013401721,0.0267184615342998,1,0.462995544244266,0.198103958167742,1,0.742443250111123
"125",0.0239905678956538,1,0.335243963638696,0.311746062407467,1,1,0.587902119374083,0.0151387422407251,0.151161821053466
"126",1,0.707506204242471,0.0220413343080757,0.0248720084763414,0.395933919868338,0.152285282328467,0.682403514856036,0.0374475864560149,0.0203213890574147
"127",0.125335574513126,1,0.0897527454014359,1,1,0.854826449578511,0.0787366678396516,0.174623930198085,1
"128",1,0.940129823589391,1,0.556417523401746,0.158064693573061,0.119066424001545,0.698133765641857,0.0176583521804218,0.056848204166186
"129",0.0821010115887026,1,0.125613822155506,0.576765298860707,0.432177569134272,0.0348391905828091,0.403337743845522,0.649720793859996,1
"130",0.246538945810924,0.550982230604786,1,0.357117021848428,0.79787562100651,0.0110680281317499,0.012340537819477,0.00927591496319462,1
"131",1,1,0.0741059774175412,1,0.300559489472037,0.658432073730198,1,1,1
"132",0.026075117096765,0.286416985084699,1,1,0.140817507681051,0.0122698821680218,0.869915201816349,1,0.138220813381992
"133",1,1,1,1,0.0828553827851999,1,1,0.623742771731891,0.0654612567070402
"134",0.438620967551128,0.0355399457908689,0.0162641013239729,1,0.719848280737582,0.163295671212776,0.0857310919080943,1,0.0170374467074712
"135",1,1,0.012623453095321,1,1,0.246625340203883,0.602680435551489,1,0.0758049755890406
"136",0.119796205008877,0.280257467038119,0.0807639318800939,0.443422070524078,0.224595824942076,0.0638008354846333,0.938686394198461,1,1
"137",1,0.592166578593943,1,0.812897991246574,0.602170373156863,0.604418949976095,0.270761815126576,1,1
"138",0.635614462805983,1,0.932179554891035,0.0380908731187411,0.756893386799234,0.128429597540438,1,0.00865697212308878,0.66364320979515
"139",1,1,0.960044365767842,1,0.974463468273091,0.177458777807284,0.123842889955984,0.0259969416651782,0.144160142389781
