"","p 1","p 2","p 3","p 4"
"237",6.58504305428971e-26,1.87924536511224e-26,4.26713496781708e-26,9.10131751126999e-29
"238",1.8072552896802e-27,1.17042766038808e-28,2.91895388238493e-22,2.01085349837396e-28
"239",3.18266850501439e-24,6.73267248459039e-23,1.44816144793237e-32,2.08189956177039e-27
"240",6.04397489489231e-30,1.67885217452513e-28,3.54213713168153e-27,1.60440456951561e-32
"241",5.31082343028276e-23,5.12474534405488e-29,4.13215980939799e-26,1.31966588509915e-24
"242",1.2084390509607e-24,3.70609690670545e-33,5.65062780627477e-22,5.9452776047241e-24
"243",7.85695146887984e-22,3.20477513263242e-32,1.3139879681788e-30,8.01292821929094e-21
"244",2.24635644639746e-24,5.94617131432069e-22,1.41709287811652e-26,1.0545488996345e-25
"245",7.43476430320261e-25,1.67559409603018e-25,4.15476920531147e-30,2.23664332434962e-20
"246",5.05035264342588e-25,9.74257494855907e-30,1.72132842126293e-32,2.98257023172954e-25
"247",3.74842664700061e-31,4.81339851330192e-25,1.58801265435435e-27,2.02451193252686e-24
"248",1.64186731445991e-22,2.2751303836294e-24,8.59064765096205e-26,1.70616083435488e-26
"249",1.24653728642525e-31,3.1116381759905e-26,2.8185640754221e-33,5.35880128251173e-31
"250",1.837884473248e-32,1.52185054832483e-27,1.43912166208311e-28,1.99389919812044e-32
"251",3.6123257529107e-29,1.09733006765896e-24,3.7914335854766e-28,1.78650028784772e-28
"252",7.07264255105283e-29,7.10041869046179e-30,7.79152620287357e-29,7.74577920665532e-29
"253",2.13443675228721e-27,2.92865397955547e-25,1.10492488187809e-22,5.67645351854337e-26
"254",1.01188543798802e-24,5.36775052457536e-25,2.85479944535425e-24,5.71725055599726e-34
"255",1.1373721594824e-29,1.49288026215864e-29,9.92102247627745e-21,7.63168499421813e-25
"256",2.69987261505848e-29,9.84127689507578e-26,2.20398379270422e-25,5.86140405555584e-29
"257",2.16664030205149e-25,6.57678079019139e-23,2.71932571060394e-21,2.1271170885565e-27
"258",2.32824422929105e-26,2.22145226278393e-28,4.41811903451988e-27,3.21849679580772e-26
"259",5.07458960128346e-27,1.47278053523237e-22,1.42119812202421e-27,1.30560207288149e-25
"260",5.07908796467758e-22,1.36470336622035e-26,3.42350737453096e-25,1.00587639214079e-25
"261",6.28574996961906e-28,1.15565004544639e-18,5.19513203099223e-24,9.12429926108948e-31
"262",8.0891814983113e-27,3.46245967177974e-34,2.59371544970619e-27,4.47651034938625e-27
"263",1.1028903815023e-31,1.56210209471183e-30,8.3748428776169e-30,7.02097979812871e-28
"264",3.22040543228294e-23,6.53953374595162e-23,1.66343486177489e-25,3.35230484234011e-26
"265",9.13089953653923e-30,4.62547174455018e-31,3.23279913561939e-27,6.58760475418888e-30
"266",1.32698887861693e-24,6.44490136170716e-30,2.42643354358206e-25,5.94852781691746e-22
"267",5.04931732090295e-26,1.25949796436096e-26,6.1253732281947e-28,3.5472612164687e-27
"268",2.11012778875369e-24,3.13347112796182e-24,1.22683470986125e-29,4.21122970234729e-31
"269",3.76871882076953e-23,1.52328757859616e-23,2.40169641874508e-28,3.21708785111595e-29
"270",2.49665882046215e-32,4.35783578644642e-26,1.14838756775999e-23,4.45671796980246e-28
"271",3.58265490871601e-28,1.82341163571535e-19,4.06085191089217e-27,7.66647588964881e-32
"272",1.67933816090235e-27,1.77839118484324e-25,1.23049237323304e-30,1.00468943479745e-27
"273",3.3890957642972e-30,2.35032515667598e-24,9.52035506940203e-25,6.91604677733936e-25
"274",8.81899452680936e-29,1.71476726155924e-31,3.15292414008359e-26,9.3330950006497e-25
"275",4.82037734097719e-22,2.54677052575961e-31,1.32313652990122e-26,2.00533251514646e-30
"276",6.44620370121806e-24,1.56499455766196e-30,3.15412240792175e-27,1.17007587903862e-30
"277",2.62152911494888e-24,2.59461990582171e-21,1.9591597829106e-25,2.4395581683354e-26
"278",3.92989584474132e-26,1.15360897689719e-28,1.33221504672347e-30,2.77473707526394e-27
"279",1.53170248921786e-28,2.82338845794912e-29,6.32808393100589e-26,7.94543659600861e-25
"280",7.01364331911737e-21,1.16938439429246e-23,1.75402558499818e-33,1.37845664277959e-26
"281",2.50059173906385e-25,5.11999223440343e-31,9.69112753719628e-25,4.33651772754294e-28
"282",3.81485877825942e-30,5.02799574723319e-25,9.73893177935061e-23,2.44005755081486e-26
"283",8.22699189662265e-28,2.14749366219303e-22,4.92190642106904e-30,4.08694372429934e-24
"284",8.42254500050757e-29,7.03794457946311e-24,5.15774629143371e-26,8.65750723559306e-32
"285",3.42687192450531e-26,1.77958865078786e-29,9.40279726256777e-24,1.55912313793816e-27
"286",3.92722480399049e-26,1.97904740418726e-33,1.31544195917507e-26,4.05929387737115e-26
"287",1.10311965876412e-28,6.22931372269789e-27,2.48282603740392e-23,1.68298434258706e-28
"288",9.05478254554468e-29,1.37873352803333e-21,2.5203177836893e-23,1.87544141531569e-25
"289",4.92784234859795e-33,1.34566805719337e-31,7.44504992576535e-26,1.24200641348614e-28
"290",2.39408235995172e-27,2.58551708827801e-28,1.77071705162655e-28,6.83795995737592e-27
"291",5.55592980051079e-32,2.9765372752134e-30,2.05168314878704e-24,2.02324683660618e-26
"292",9.17744097072345e-23,2.12245877252245e-25,2.90979680537637e-27,4.28901160330523e-28
"293",8.66930164024771e-24,2.16008146112815e-27,2.04470660401209e-25,5.64782177142879e-25
"294",2.21560574558541e-29,3.67951080571853e-25,1.99640395647573e-29,2.0972935696193e-27
"295",3.96028247064522e-25,1.16155404169949e-27,1.15701206281326e-28,1.13889761349771e-34
"296",4.63920792783001e-29,3.55770361111047e-22,2.28010947518599e-31,1.84923423170124e-31
